sRNA_ID	mRNA_ID	Prediction_Probability
sRNA135	Gene871	0.52625
sRNA141	Gene1732	0.52015
sRNA29	Gene826	0.57809
sRNA13	Gene1674	0.50661
sRNA118	Gene2008	0.55264
sRNA35	Gene1958	0.52136
sRNA52	Gene705	0.62488
sRNA202	Gene2299	0.51295
sRNA212	Gene2209	0.54084
sRNA258	Gene2152	0.49634
sRNA208	Gene2511	0.50188
sRNA52	Gene2307	0.56555
sRNA9	Gene2577	0.5238
sRNA76	Gene1971	0.51879
sRNA156	Gene2641	0.53079
sRNA9	Gene1276	0.47424
sRNA15	Gene439	0.48439
sRNA124	Gene2574	0.54208
sRNA203	Gene2266	0.51184
sRNA245	Gene370	0.53374
sRNA108	Gene1613	0.49511
sRNA113	Gene2148	0.54104
sRNA9	Gene2844	0.49602
sRNA45	Gene608	0.60059
sRNA9	Gene2514	0.48354
sRNA45	Gene2306	0.47348
sRNA22	Gene2247	0.46005
sRNA222	Gene2359	0.45982
sRNA153	Gene1077	0.52476
sRNA37	Gene2093	0.49792
sRNA2	Gene1150	0.58308
sRNA14	Gene1334	0.53891
sRNA247	Gene781	0.49775
sRNA34	Gene293	0.49486
sRNA188	Gene1173	0.54889
sRNA276	Gene587	0.50947
sRNA155	Gene1910	0.45211
sRNA189	Gene2859	0.5155
sRNA134	Gene2573	0.55046
sRNA225	Gene2653	0.57893
sRNA176	Gene543	0.54719
sRNA70	Gene2400	0.56013
sRNA71	Gene194	0.54707
sRNA51	Gene280	0.59711
sRNA108	Gene2194	0.51328
sRNA88	Gene1225	0.54817
sRNA258	Gene1327	0.48277
sRNA49	Gene2719	0.56606
sRNA116	Gene781	0.55643
sRNA184	Gene998	0.50575
sRNA239	Gene1388	0.51736
sRNA137	Gene1163	0.47073
sRNA18	Gene1049	0.51834
sRNA168	Gene210	0.50245
sRNA161	Gene603	0.47001
sRNA18	Gene2131	0.48333
sRNA224	Gene785	0.60477
sRNA162	Gene343	0.5044
sRNA55	Gene182	0.57443
sRNA208	Gene1139	0.47039
sRNA21	Gene1905	0.48645
sRNA88	Gene1427	0.51653
sRNA225	Gene2697	0.47515
sRNA71	Gene713	0.57931
sRNA168	Gene192	0.46633
sRNA72	Gene1849	0.55074
sRNA189	Gene419	0.47399
sRNA141	Gene1802	0.50655
sRNA154	Gene709	0.56804
sRNA82	Gene1884	0.51971
sRNA9	Gene2355	0.58346
sRNA112	Gene2161	0.57619
sRNA130	Gene2769	0.5037
sRNA8	Gene977	0.49682
sRNA82	Gene582	0.50531
sRNA22	Gene1260	0.49393
sRNA226	Gene1495	0.50477
sRNA223	Gene1246	0.5662
sRNA155	Gene504	0.47688
sRNA122	Gene883	0.5249
sRNA30	Gene848	0.49877
sRNA69	Gene2489	0.48398
sRNA124	Gene1483	0.57729
sRNA67	Gene1475	0.48856
sRNA45	Gene427	0.56902
sRNA244	Gene1715	0.48598
sRNA84	Gene1827	0.5346
sRNA71	Gene2132	0.53571
sRNA275	Gene829	0.51703
sRNA167	Gene2185	0.54149
sRNA313	Gene686	0.53651
sRNA192	Gene2831	0.50487
sRNA244	Gene259	0.54853
sRNA185	Gene82	0.46873
sRNA187	Gene281	0.52015
sRNA27	Gene2633	0.4661
sRNA124	Gene1139	0.55375
sRNA241	Gene198	0.53316
sRNA218	Gene2815	0.57544
sRNA80	Gene1184	0.54755
sRNA86	Gene804	0.63409
sRNA218	Gene1812	0.54307
sRNA235	Gene1145	0.56162
sRNA140	Gene2245	0.52267
sRNA15	Gene1553	0.53946
sRNA174	Gene1319	0.49625
sRNA274	Gene2179	0.44752
sRNA172	Gene1037	0.48615
sRNA89	Gene1161	0.49163
sRNA85	Gene1036	0.48328
sRNA120	Gene772	0.55844
sRNA215	Gene2714	0.46584
sRNA91	Gene2782	0.49692
sRNA81	Gene1967	0.53781
sRNA236	Gene2087	0.56645
sRNA203	Gene1905	0.49436
sRNA49	Gene2644	0.54572
sRNA276	Gene644	0.50002
sRNA9	Gene2380	0.52848
sRNA241	Gene1402	0.53486
sRNA75	Gene1261	0.49054
sRNA84	Gene664	0.52301
sRNA12	Gene2665	0.53634
sRNA9	Gene2588	0.54644
sRNA84	Gene582	0.59287
sRNA249	Gene1889	0.49825
sRNA304	Gene2388	0.48005
sRNA61	Gene990	0.53808
sRNA171	Gene2363	0.51198
sRNA192	Gene1402	0.52313
sRNA248	Gene1048	0.49705
sRNA95	Gene1919	0.57972
sRNA239	Gene1548	0.51865
sRNA106	Gene2295	0.51664
sRNA256	Gene191	0.47292
sRNA98	Gene2062	0.48929
sRNA120	Gene2532	0.56983
sRNA246	Gene1841	0.56053
sRNA173	Gene2524	0.49367
sRNA276	Gene1965	0.52675
sRNA1	Gene574	0.52316
sRNA141	Gene1500	0.5352
sRNA171	Gene862	0.4962
sRNA3	Gene2223	0.48993
sRNA245	Gene2817	0.54282
sRNA88	Gene263	0.52767
sRNA172	Gene2235	0.50445
sRNA129	Gene2633	0.58195
sRNA77	Gene819	0.58979
sRNA201	Gene1286	0.5097
sRNA178	Gene538	0.57001
sRNA158	Gene2119	0.5557
sRNA291	Gene847	0.50817
sRNA20	Gene2346	0.5682
sRNA157	Gene66	0.52715
sRNA13	Gene671	0.46651
sRNA148	Gene1963	0.53134
sRNA132	Gene1911	0.48143
sRNA61	Gene950	0.47412
sRNA50	Gene322	0.47712
sRNA84	Gene1922	0.51782
sRNA126	Gene2576	0.50589
sRNA61	Gene2758	0.52595
sRNA163	Gene1779	0.58015
sRNA156	Gene404	0.55988
sRNA102	Gene2505	0.51107
sRNA15	Gene1001	0.56106
sRNA62	Gene1188	0.54579
sRNA218	Gene1352	0.56323
sRNA175	Gene1549	0.47311
sRNA163	Gene1292	0.59949
sRNA21	Gene1124	0.52896
sRNA228	Gene163	0.51045
sRNA208	Gene656	0.44988
sRNA235	Gene1135	0.52562
sRNA163	Gene2807	0.5226
sRNA42	Gene19	0.53555
sRNA180	Gene679	0.5227
sRNA84	Gene2817	0.59581
sRNA203	Gene1356	0.53959
sRNA144	Gene1274	0.45595
sRNA256	Gene1225	0.45059
sRNA107	Gene425	0.51483
sRNA215	Gene1793	0.50142
sRNA50	Gene1619	0.47308
sRNA50	Gene1827	0.4968
sRNA127	Gene515	0.53796
sRNA200	Gene1960	0.46432
sRNA241	Gene967	0.53347
sRNA291	Gene1100	0.46812
sRNA60	Gene512	0.52723
sRNA158	Gene2031	0.5034
sRNA45	Gene2470	0.5193
sRNA81	Gene1923	0.54949
sRNA152	Gene835	0.50157
sRNA233	Gene263	0.55612
sRNA99	Gene2221	0.50715
sRNA137	Gene878	0.45477
sRNA216	Gene675	0.48338
sRNA181	Gene224	0.5522
sRNA88	Gene1010	0.55976
sRNA49	Gene1593	0.53878
sRNA9	Gene528	0.52513
sRNA89	Gene206	0.51002
sRNA104	Gene1472	0.50974
sRNA156	Gene2630	0.56781
sRNA268	Gene334	0.46737
sRNA95	Gene2051	0.52589
sRNA276	Gene2328	0.5173
sRNA190	Gene694	0.52201
sRNA168	Gene667	0.4468
sRNA201	Gene2479	0.51562
sRNA162	Gene2134	0.55505
sRNA42	Gene958	0.58841
sRNA258	Gene1454	0.47712
sRNA236	Gene760	0.52282
sRNA204	Gene1661	0.51193
sRNA41	Gene1041	0.57466
sRNA281	Gene2643	0.46811
sRNA230	Gene1497	0.47771
sRNA7	Gene2674	0.56413
sRNA188	Gene1454	0.53289
sRNA72	Gene2626	0.57484
sRNA144	Gene1575	0.53333
sRNA202	Gene2078	0.51959
sRNA22	Gene1243	0.48488
sRNA126	Gene1403	0.54801
sRNA20	Gene1900	0.52741
sRNA158	Gene306	0.51524
sRNA89	Gene2318	0.49144
sRNA60	Gene2363	0.52463
sRNA217	Gene1018	0.47679
sRNA148	Gene2755	0.48716
sRNA60	Gene1848	0.50749
sRNA206	Gene1429	0.49919
sRNA51	Gene2057	0.56288
sRNA214	Gene1461	0.48375
sRNA21	Gene1044	0.52784
sRNA148	Gene253	0.56603
sRNA48	Gene2865	0.55219
sRNA86	Gene2520	0.59162
sRNA342	Gene750	0.45005
sRNA218	Gene1403	0.54253
sRNA50	Gene1934	0.52033
sRNA126	Gene1716	0.56601
sRNA72	Gene557	0.52243
sRNA137	Gene2629	0.48498
sRNA240	Gene1660	0.53529
sRNA204	Gene251	0.48858
sRNA230	Gene1657	0.50446
sRNA16	Gene795	0.55788
sRNA170	Gene2317	0.49976
sRNA211	Gene2407	0.50038
sRNA57	Gene595	0.4545
sRNA106	Gene1955	0.53873
sRNA180	Gene1737	0.50274
sRNA14	Gene2087	0.48966
sRNA147	Gene2738	0.59064
sRNA66	Gene2661	0.45532
sRNA58	Gene2714	0.54723
sRNA51	Gene2374	0.56814
sRNA30	Gene597	0.45881
sRNA12	Gene853	0.50081
sRNA264	Gene1564	0.49725
sRNA25	Gene834	0.57304
sRNA206	Gene1496	0.51862
sRNA219	Gene386	0.48936
sRNA7	Gene1854	0.58559
sRNA180	Gene237	0.55094
sRNA41	Gene1708	0.55266
sRNA122	Gene1686	0.5156
sRNA256	Gene1581	0.44667
sRNA286	Gene2244	0.46279
sRNA179	Gene675	0.46599
sRNA76	Gene1565	0.54076
sRNA52	Gene1738	0.52234
sRNA230	Gene882	0.48189
sRNA113	Gene1516	0.48448
sRNA45	Gene906	0.57634
sRNA256	Gene782	0.47807
sRNA230	Gene755	0.50399
sRNA82	Gene1393	0.50348
sRNA251	Gene1517	0.49315
sRNA78	Gene95	0.53956
sRNA14	Gene2627	0.53831
sRNA24	Gene702	0.53373
sRNA149	Gene2438	0.46753
sRNA129	Gene1832	0.55225
sRNA22	Gene350	0.50844
sRNA105	Gene2151	0.49101
sRNA181	Gene1429	0.57815
sRNA200	Gene590	0.53842
sRNA53	Gene587	0.51019
sRNA86	Gene381	0.56261
sRNA139	Gene387	0.44725
sRNA201	Gene1289	0.49114
sRNA149	Gene2417	0.47525
sRNA194	Gene1909	0.55479
sRNA50	Gene2152	0.57108
sRNA62	Gene2698	0.51294
sRNA143	Gene1274	0.58606
sRNA17	Gene468	0.53579
sRNA9	Gene1999	0.54474
sRNA108	Gene2329	0.54356
sRNA14	Gene2014	0.46079
sRNA39	Gene1631	0.53667
sRNA9	Gene472	0.50609
sRNA194	Gene2073	0.5498
sRNA88	Gene966	0.5898
sRNA213	Gene2842	0.51643
sRNA9	Gene814	0.4875
sRNA128	Gene1893	0.55445
sRNA248	Gene170	0.49254
sRNA263	Gene178	0.505
sRNA287	Gene2209	0.52948
sRNA3	Gene1035	0.46761
sRNA202	Gene548	0.55345
sRNA240	Gene1391	0.58462
sRNA12	Gene862	0.52919
sRNA7	Gene1813	0.50974
sRNA164	Gene687	0.49805
sRNA64	Gene1211	0.55577
sRNA45	Gene2449	0.54021
sRNA68	Gene703	0.55418
sRNA228	Gene2714	0.48049
sRNA135	Gene2257	0.47795
sRNA66	Gene2391	0.51186
sRNA193	Gene1954	0.47137
sRNA101	Gene629	0.50708
sRNA248	Gene1743	0.44793
sRNA148	Gene2040	0.53778
sRNA143	Gene315	0.56022
sRNA241	Gene223	0.53993
sRNA22	Gene996	0.50058
sRNA41	Gene1728	0.56591
sRNA189	Gene1315	0.50324
sRNA286	Gene1386	0.49664
sRNA170	Gene2504	0.50938
sRNA15	Gene2457	0.54012
sRNA224	Gene82	0.58058
sRNA249	Gene1605	0.4879
sRNA144	Gene1594	0.52456
sRNA9	Gene1889	0.49196
sRNA121	Gene901	0.48687
sRNA193	Gene386	0.52498
sRNA209	Gene2300	0.53341
sRNA186	Gene724	0.52422
sRNA14	Gene602	0.47942
sRNA112	Gene154	0.57267
sRNA225	Gene1364	0.52767
sRNA174	Gene2138	0.51596
sRNA241	Gene656	0.50601
sRNA167	Gene1722	0.49209
sRNA195	Gene2360	0.49794
sRNA214	Gene2233	0.53782
sRNA71	Gene1448	0.51463
sRNA88	Gene1036	0.53713
sRNA117	Gene2770	0.5357
sRNA216	Gene2256	0.49459
sRNA127	Gene1369	0.57467
sRNA163	Gene539	0.56359
sRNA111	Gene1391	0.54266
sRNA53	Gene762	0.50598
sRNA6	Gene758	0.54311
sRNA24	Gene1792	0.45823
sRNA9	Gene270	0.55804
sRNA155	Gene924	0.44788
sRNA24	Gene543	0.4659
sRNA83	Gene292	0.55374
sRNA246	Gene560	0.52669
sRNA96	Gene1696	0.49962
sRNA128	Gene485	0.55063
sRNA255	Gene2762	0.47539
sRNA136	Gene2267	0.53348
sRNA236	Gene2792	0.59287
sRNA105	Gene1185	0.45742
sRNA87	Gene570	0.58217
sRNA273	Gene2125	0.49577
sRNA240	Gene533	0.576
sRNA37	Gene958	0.51434
sRNA216	Gene1107	0.59879
sRNA9	Gene1080	0.46135
sRNA148	Gene2163	0.47522
sRNA48	Gene1296	0.52637
sRNA159	Gene1392	0.54119
sRNA177	Gene1498	0.56302
sRNA149	Gene2458	0.49032
sRNA9	Gene1523	0.46496
sRNA83	Gene1931	0.54584
sRNA100	Gene1059	0.48686
sRNA192	Gene1924	0.50118
sRNA73	Gene1948	0.51545
sRNA129	Gene2736	0.58337
sRNA239	Gene1706	0.52307
sRNA230	Gene1721	0.49479
sRNA130	Gene877	0.56714
sRNA122	Gene349	0.53458
sRNA23	Gene146	0.46635
sRNA18	Gene1607	0.51197
sRNA37	Gene1154	0.61582
sRNA132	Gene2470	0.47216
sRNA292	Gene2508	0.4649
sRNA28	Gene2767	0.47411
sRNA172	Gene2304	0.49483
sRNA279	Gene2568	0.46135
sRNA58	Gene1530	0.51053
sRNA50	Gene1558	0.56045
sRNA126	Gene1348	0.45475
sRNA134	Gene2390	0.53563
sRNA25	Gene514	0.53751
sRNA33	Gene671	0.49563
sRNA39	Gene1516	0.55207
sRNA9	Gene1749	0.47232
sRNA109	Gene993	0.55443
sRNA105	Gene642	0.50599
sRNA218	Gene1540	0.51761
sRNA158	Gene1391	0.56224
sRNA60	Gene322	0.57345
sRNA98	Gene1847	0.47421
sRNA84	Gene951	0.59305
sRNA35	Gene2264	0.5194
sRNA241	Gene2845	0.55168
sRNA72	Gene1936	0.50616
sRNA64	Gene671	0.5377
sRNA148	Gene162	0.52836
sRNA181	Gene2813	0.52759
sRNA47	Gene355	0.53139
sRNA168	Gene2646	0.51148
sRNA191	Gene2286	0.47518
sRNA87	Gene2639	0.51667
sRNA250	Gene2307	0.45856
sRNA262	Gene1669	0.50871
sRNA14	Gene681	0.53677
sRNA212	Gene923	0.53186
sRNA15	Gene2180	0.57049
sRNA119	Gene994	0.534
sRNA44	Gene2349	0.45573
sRNA89	Gene1111	0.57964
sRNA209	Gene2790	0.54497
sRNA135	Gene967	0.48789
sRNA128	Gene1662	0.50624
sRNA273	Gene2029	0.47846
sRNA240	Gene2166	0.55178
sRNA47	Gene1918	0.50384
sRNA219	Gene2811	0.53969
sRNA54	Gene586	0.44779
sRNA9	Gene2416	0.48794
sRNA171	Gene406	0.50548
sRNA7	Gene2652	0.533
sRNA209	Gene1816	0.54648
sRNA148	Gene1170	0.56445
sRNA173	Gene1900	0.47145
sRNA9	Gene804	0.4959
sRNA50	Gene2343	0.52142
sRNA148	Gene2697	0.53511
sRNA65	Gene305	0.55306
sRNA68	Gene2719	0.50351
sRNA9	Gene223	0.56415
sRNA66	Gene1432	0.47352
sRNA62	Gene1224	0.55134
sRNA206	Gene1049	0.5306
sRNA237	Gene1840	0.47748
sRNA159	Gene598	0.52489
sRNA85	Gene289	0.50882
sRNA61	Gene311	0.51358
sRNA236	Gene2240	0.55253
sRNA209	Gene993	0.5388
sRNA122	Gene561	0.53501
sRNA142	Gene1251	0.51166
sRNA116	Gene1190	0.52367
sRNA92	Gene1800	0.48289
sRNA241	Gene734	0.53413
sRNA99	Gene1376	0.54988
sRNA203	Gene1724	0.50378
sRNA73	Gene1407	0.48211
sRNA287	Gene239	0.50693
sRNA188	Gene2419	0.52953
sRNA212	Gene2709	0.57414
sRNA4	Gene1602	0.44634
sRNA29	Gene1012	0.55966
sRNA54	Gene300	0.46828
sRNA90	Gene2161	0.54054
sRNA243	Gene2668	0.53009
sRNA50	Gene2808	0.50844
sRNA55	Gene842	0.55548
sRNA181	Gene1598	0.57118
sRNA105	Gene912	0.5533
sRNA122	Gene917	0.52574
sRNA126	Gene1380	0.51652
sRNA78	Gene2714	0.48787
sRNA188	Gene2606	0.52034
sRNA148	Gene2491	0.54327
sRNA86	Gene819	0.58679
sRNA9	Gene357	0.51056
sRNA232	Gene2746	0.49505
sRNA22	Gene1913	0.45832
sRNA206	Gene2630	0.50205
sRNA177	Gene2354	0.50713
sRNA130	Gene1093	0.58686
sRNA100	Gene376	0.58631
sRNA89	Gene1136	0.56929
sRNA136	Gene173	0.51373
sRNA189	Gene2173	0.49134
sRNA118	Gene1140	0.47076
sRNA33	Gene528	0.57431
sRNA75	Gene281	0.48739
sRNA131	Gene313	0.53784
sRNA236	Gene102	0.58086
sRNA40	Gene390	0.53436
sRNA188	Gene596	0.5719
sRNA152	Gene2520	0.56345
sRNA193	Gene579	0.49669
sRNA159	Gene2049	0.53719
sRNA170	Gene1811	0.49853
sRNA128	Gene2047	0.50306
sRNA9	Gene1430	0.5298
sRNA95	Gene961	0.54349
sRNA121	Gene1878	0.48663
sRNA175	Gene1209	0.52947
sRNA52	Gene687	0.62066
sRNA7	Gene2411	0.54473
sRNA163	Gene17	0.5419
sRNA132	Gene426	0.4799
sRNA75	Gene628	0.51985
sRNA144	Gene628	0.50692
sRNA121	Gene48	0.54553
sRNA82	Gene2796	0.51999
sRNA9	Gene388	0.53567
sRNA26	Gene698	0.49932
sRNA208	Gene2374	0.44632
sRNA1	Gene367	0.45892
sRNA193	Gene1632	0.50155
sRNA240	Gene1999	0.60635
sRNA91	Gene1567	0.47141
sRNA105	Gene282	0.56966
sRNA232	Gene2470	0.48512
sRNA138	Gene1983	0.44808
sRNA44	Gene1747	0.47755
sRNA28	Gene2613	0.53739
sRNA269	Gene342	0.46485
sRNA158	Gene975	0.51228
sRNA55	Gene1739	0.48988
sRNA124	Gene987	0.57042
sRNA48	Gene1851	0.5014
sRNA172	Gene2588	0.50999
sRNA100	Gene2670	0.50478
sRNA66	Gene2288	0.48048
sRNA44	Gene2440	0.497
sRNA122	Gene681	0.51091
sRNA14	Gene941	0.5415
sRNA137	Gene569	0.49861
sRNA291	Gene470	0.52228
sRNA199	Gene1270	0.54964
sRNA219	Gene1208	0.53823
sRNA61	Gene2311	0.55398
sRNA171	Gene571	0.50403
sRNA5	Gene1628	0.482
sRNA64	Gene830	0.54594
sRNA148	Gene1709	0.53138
sRNA215	Gene281	0.46532
sRNA26	Gene817	0.5101
sRNA198	Gene267	0.50888
sRNA9	Gene1526	0.50901
sRNA168	Gene544	0.45378
sRNA192	Gene1813	0.48879
sRNA22	Gene1285	0.4613
sRNA181	Gene987	0.54778
sRNA231	Gene2032	0.51867
sRNA84	Gene654	0.5131
sRNA197	Gene1735	0.48085
sRNA106	Gene2008	0.54811
sRNA203	Gene2505	0.5541
sRNA134	Gene1496	0.52327
sRNA170	Gene2575	0.51812
sRNA214	Gene2837	0.54736
sRNA1	Gene161	0.51215
sRNA35	Gene86	0.51175
sRNA72	Gene2416	0.52321
sRNA49	Gene1134	0.52662
sRNA52	Gene2865	0.53119
sRNA47	Gene1862	0.57004
sRNA134	Gene1871	0.46199
sRNA13	Gene1599	0.51891
sRNA203	Gene2406	0.51156
sRNA122	Gene2342	0.53182
sRNA143	Gene806	0.53396
sRNA146	Gene1346	0.50729
sRNA258	Gene219	0.48369
sRNA217	Gene239	0.51242
sRNA218	Gene2711	0.52421
sRNA39	Gene2316	0.59652
sRNA26	Gene2396	0.52006
sRNA124	Gene1431	0.57677
sRNA216	Gene1940	0.4668
sRNA120	Gene654	0.53434
sRNA247	Gene446	0.46153
sRNA156	Gene1393	0.48908
sRNA169	Gene1305	0.48286
sRNA117	Gene1340	0.56244
sRNA136	Gene2624	0.56659
sRNA84	Gene937	0.56768
sRNA61	Gene1407	0.48515
sRNA20	Gene1398	0.54067
sRNA231	Gene709	0.56403
sRNA206	Gene1948	0.56866
sRNA76	Gene390	0.58064
sRNA236	Gene1876	0.56739
sRNA195	Gene513	0.44927
sRNA8	Gene2411	0.51262
sRNA134	Gene2671	0.5345
sRNA115	Gene882	0.53146
sRNA156	Gene979	0.46065
sRNA54	Gene1638	0.47847
sRNA120	Gene1238	0.5784
sRNA2	Gene839	0.54816
sRNA291	Gene2843	0.5193
sRNA41	Gene1161	0.59357
sRNA12	Gene2834	0.57266
sRNA59	Gene559	0.60031
sRNA55	Gene1819	0.56375
sRNA219	Gene545	0.57119
sRNA289	Gene729	0.50934
sRNA64	Gene865	0.60533
sRNA220	Gene2471	0.55536
sRNA66	Gene203	0.50742
sRNA222	Gene1670	0.4899
sRNA18	Gene1945	0.51625
sRNA132	Gene2249	0.49395
sRNA219	Gene1390	0.44925
sRNA146	Gene2005	0.49816
sRNA31	Gene323	0.5025
sRNA222	Gene359	0.51823
sRNA215	Gene1406	0.54787
sRNA192	Gene1812	0.51365
sRNA52	Gene280	0.60123
sRNA9	Gene2443	0.46174
sRNA129	Gene1988	0.55902
sRNA66	Gene1940	0.44852
sRNA173	Gene2167	0.52214
sRNA78	Gene2666	0.48834
sRNA202	Gene488	0.51443
sRNA30	Gene2532	0.47745
sRNA216	Gene2258	0.48706
sRNA228	Gene1793	0.53422
sRNA167	Gene1058	0.48026
sRNA218	Gene2750	0.53206
sRNA9	Gene2240	0.44825
sRNA26	Gene383	0.52286
sRNA4	Gene1081	0.49854
sRNA47	Gene2141	0.5246
sRNA299	Gene103	0.5121
sRNA219	Gene2453	0.49672
sRNA218	Gene2671	0.46705
sRNA9	Gene454	0.4711
sRNA35	Gene2300	0.53894
sRNA202	Gene833	0.48752
sRNA58	Gene1822	0.4989
sRNA9	Gene811	0.50809
sRNA209	Gene2501	0.56537
sRNA104	Gene86	0.48911
sRNA215	Gene756	0.52351
sRNA235	Gene1945	0.54208
sRNA116	Gene181	0.53677
sRNA9	Gene147	0.53492
sRNA140	Gene2486	0.53201
sRNA30	Gene936	0.49356
sRNA218	Gene1275	0.51438
sRNA158	Gene829	0.46901
sRNA18	Gene930	0.4962
sRNA4	Gene2121	0.49969
sRNA28	Gene1218	0.49706
sRNA10	Gene2087	0.51433
sRNA106	Gene1867	0.46863
sRNA122	Gene1165	0.53619
sRNA259	Gene2847	0.45717
sRNA65	Gene302	0.58064
sRNA9	Gene463	0.58325
sRNA222	Gene1263	0.47477
sRNA65	Gene1198	0.50844
sRNA50	Gene1253	0.49726
sRNA77	Gene2556	0.55086
sRNA151	Gene2138	0.53411
sRNA178	Gene2437	0.59221
sRNA21	Gene2345	0.53974
sRNA216	Gene1626	0.46741
sRNA132	Gene900	0.46855
sRNA116	Gene980	0.53645
sRNA9	Gene2249	0.5094
sRNA9	Gene532	0.56567
sRNA215	Gene182	0.53978
sRNA155	Gene1339	0.48967
sRNA167	Gene366	0.48354
sRNA144	Gene44	0.54965
sRNA25	Gene2211	0.55396
sRNA55	Gene1627	0.50886
sRNA78	Gene243	0.60969
sRNA9	Gene1253	0.54617
sRNA156	Gene1239	0.52973
sRNA81	Gene2245	0.54605
sRNA58	Gene1875	0.49222
sRNA173	Gene491	0.47118
sRNA85	Gene1040	0.48421
sRNA241	Gene2862	0.56738
sRNA239	Gene1521	0.53548
sRNA205	Gene2158	0.46169
sRNA75	Gene65	0.47666
sRNA98	Gene974	0.53489
sRNA9	Gene1785	0.53137
sRNA206	Gene1965	0.50843
sRNA34	Gene29	0.52158
sRNA171	Gene123	0.48535
sRNA35	Gene661	0.52962
sRNA55	Gene2571	0.55511
sRNA78	Gene1737	0.52429
sRNA119	Gene1089	0.4867
sRNA254	Gene2188	0.4485
sRNA37	Gene1129	0.58564
sRNA195	Gene601	0.52647
sRNA35	Gene1238	0.532
sRNA120	Gene2268	0.52992
sRNA167	Gene2334	0.54235
sRNA6	Gene2747	0.5232
sRNA170	Gene1308	0.45984
sRNA181	Gene2182	0.5539
sRNA206	Gene1126	0.51798
sRNA89	Gene2786	0.52636
sRNA159	Gene2565	0.5268
sRNA31	Gene475	0.53723
sRNA20	Gene1893	0.48007
sRNA128	Gene2863	0.52565
sRNA25	Gene2512	0.58575
sRNA1	Gene292	0.53093
sRNA289	Gene1789	0.5532
sRNA57	Gene2377	0.48754
sRNA113	Gene1377	0.50342
sRNA235	Gene1637	0.49883
sRNA248	Gene1717	0.47498
sRNA186	Gene1828	0.5594
sRNA219	Gene943	0.48976
sRNA130	Gene582	0.57327
sRNA122	Gene557	0.52953
sRNA134	Gene1470	0.54857
sRNA237	Gene1906	0.54115
sRNA57	Gene1099	0.48657
sRNA69	Gene363	0.47448
sRNA50	Gene576	0.51007
sRNA123	Gene1680	0.50929
sRNA60	Gene278	0.54893
sRNA24	Gene248	0.51368
sRNA273	Gene1434	0.50282
sRNA80	Gene781	0.51594
sRNA44	Gene1828	0.48615
sRNA92	Gene716	0.5264
sRNA241	Gene491	0.55682
sRNA10	Gene340	0.53946
sRNA158	Gene2309	0.49112
sRNA274	Gene62	0.44638
sRNA100	Gene517	0.50586
sRNA105	Gene2813	0.54816
sRNA298	Gene949	0.49515
sRNA77	Gene1446	0.55353
sRNA58	Gene2443	0.5101
sRNA136	Gene2768	0.49161
sRNA66	Gene2315	0.46019
sRNA47	Gene612	0.54347
sRNA217	Gene137	0.56415
sRNA41	Gene1408	0.57145
sRNA102	Gene591	0.49097
sRNA91	Gene1441	0.50806
sRNA120	Gene1450	0.57676
sRNA269	Gene2091	0.44756
sRNA9	Gene2328	0.53482
sRNA18	Gene2093	0.50535
sRNA155	Gene222	0.5061
sRNA83	Gene2168	0.51837
sRNA232	Gene2194	0.45122
sRNA22	Gene2097	0.46869
sRNA49	Gene165	0.5609
sRNA258	Gene1599	0.46763
sRNA107	Gene1489	0.50083
sRNA252	Gene1753	0.48228
sRNA91	Gene660	0.4998
sRNA43	Gene118	0.53077
sRNA55	Gene15	0.53476
sRNA124	Gene2186	0.56179
sRNA171	Gene198	0.45967
sRNA181	Gene2577	0.56765
sRNA82	Gene2044	0.50893
sRNA167	Gene1255	0.47992
sRNA246	Gene2078	0.50897
sRNA142	Gene1434	0.54014
sRNA231	Gene1397	0.5369
sRNA219	Gene1154	0.49039
sRNA191	Gene1786	0.54746
sRNA127	Gene1850	0.56017
sRNA227	Gene1468	0.50524
sRNA118	Gene1577	0.45993
sRNA201	Gene166	0.51793
sRNA49	Gene322	0.57398
sRNA50	Gene858	0.49644
sRNA211	Gene584	0.46978
sRNA98	Gene296	0.50018
sRNA147	Gene496	0.56062
sRNA205	Gene2842	0.47398
sRNA108	Gene2330	0.53236
sRNA191	Gene2308	0.50322
sRNA79	Gene2352	0.53497
sRNA9	Gene253	0.56308
sRNA9	Gene2495	0.53233
sRNA236	Gene1889	0.56092
sRNA193	Gene2618	0.49227
sRNA67	Gene277	0.45607
sRNA139	Gene1902	0.53803
sRNA186	Gene413	0.50625
sRNA22	Gene2723	0.49575
sRNA3	Gene1646	0.49091
sRNA264	Gene603	0.52795
sRNA64	Gene1395	0.56346
sRNA254	Gene141	0.45449
sRNA171	Gene2812	0.46676
sRNA222	Gene169	0.52583
sRNA101	Gene1125	0.53915
sRNA113	Gene1744	0.49298
sRNA132	Gene577	0.47256
sRNA199	Gene1349	0.60548
sRNA9	Gene1760	0.4976
sRNA219	Gene2607	0.49544
sRNA39	Gene885	0.6141
sRNA131	Gene1809	0.53491
sRNA24	Gene635	0.48152
sRNA54	Gene1177	0.44711
sRNA237	Gene1610	0.49108
sRNA28	Gene2801	0.45794
sRNA112	Gene582	0.52421
sRNA159	Gene1753	0.54701
sRNA9	Gene2860	0.4814
sRNA160	Gene453	0.53407
sRNA323	Gene558	0.48329
sRNA64	Gene2565	0.56176
